domain	name	tld	package	category	subcategory	type	noun	nounPlural	verb	verbGerund	adjective	description	tagline	status	priority	tier
finn.do	finn	do	finn.do	agents	finance	agent	Finn	-	finance	financing	precise	Financial analysis agent	-	planned	P3	free
fran.do	fran	do	fran.do	agents	frontend	agent	Fran	-	render	rendering	polished	Frontend specialist	-	planned	P3	free
gene.do	gene	do	gene.do	agents	generation	agent	Gene	-	generate	generating	generative	Content generation agent	-	planned	P3	free
gio.do	gio	do	gio.do	agents	graphics	agent	Gio	-	illustrate	illustrating	visual	Graphics and illustration agent	-	planned	P3	free
gloria.do	gloria	do	gloria.do	agents	growth	agent	Gloria	-	grow	growing	strategic	Growth strategy agent	-	planned	P3	free
grace.do	grace	do	grace.do	agents	engineering	agent	Grace	-	compute	computing	elegant	Elegant computing agent	-	planned	P3	free
grant.do	grant	do	grant.do	agents	grants	agent	Grant	-	fund	funding	resourceful	Grant writing specialist	-	planned	P3	free
hal.do	hal	do	hal.do	agents	assistant	agent	Hal	-	assist	assisting	helpful	General assistant agent	-	planned	P3	free
hazel.do	hazel	do	hazel.do	agents	hr	agent	Hazel	-	hire	hiring	discerning	HR and hiring specialist	-	planned	P3	free
henry.do	henry	do	henry.do	agents	help	agent	Henry	-	help	helping	supportive	Help desk agent	-	planned	P3	free
ivy.do	ivy	do	ivy.do	agents	integration	agent	Ivy	-	integrate	integrating	connective	Integration specialist	-	planned	P3	free
jack.do	jack	do	jack.do	agents	engineering	agent	Jack	-	build	building	versatile	Jack-of-all-trades engineer	-	planned	P3	free
jay.do	jay	do	jay.do	agents	javascript	agent	Jay	-	script	scripting	dynamic	JavaScript specialist	-	planned	P3	free
joe.do	joe	do	joe.do	agents	engineering	agent	Joe	-	develop	developing	reliable	Reliable development agent	-	planned	P3	free
jon.do	jon	do	jon.do	agents	engineering	agent	Jon	-	build	building	steady	Steady builder agent	-	planned	P3	free
jules.do	jules	do	jules.do	agents	jupyter	agent	Jules	-	notebook	notebooking	analytical	Jupyter notebook specialist	-	planned	P3	free
jun.do	jun	do	jun.do	agents	engineering	agent	Jun	-	develop	developing	junior	Junior development agent	-	planned	P3	free
kat.do	kat	do	kat.do	agents	testing	agent	Kat	-	test	testing	thorough	Test automation specialist	-	planned	P3	free
kate.do	kate	do	kate.do	agents	knowledge	agent	Kate	-	know	knowing	knowledgeable	Knowledge base agent	-	planned	P3	free
koa.do	koa	do	koa.do	agents	backend	agent	Koa	-	serve	serving	performant	Backend API specialist	-	planned	P3	free
larry.do	larry	do	larry.do	agents	legal	agent	Larry	-	litigate	litigating	precise	Legal document specialist	-	planned	P3	free
lei.do	lei	do	lei.do	agents	compliance	agent	Lei	-	comply	complying	regulatory	Compliance specialist	-	planned	P3	free
lena.do	lena	do	lena.do	agents	learning	agent	Lena	-	learn	learning	adaptive	Machine learning agent	-	planned	P3	free
leo.do	leo	do	leo.do	agents	leadership	agent	Leo	-	lead	leading	decisive	Leadership and strategy agent	-	planned	P3	free
lexi.do	lexi	do	lexi.do	agents	lexical	agent	Lexi	-	parse	parsing	linguistic	NLP and language specialist	-	planned	P3	free
lia.do	lia	do	lia.do	agents	liaison	agent	Lia	-	liaise	liaising	diplomatic	Cross-team liaison agent	-	planned	P3	free
liv.do	liv	do	liv.do	agents	live	agent	Liv	-	stream	streaming	real-time	Live streaming specialist	-	planned	P3	free
lou.do	lou	do	lou.do	agents	logistics	agent	Lou	-	ship	shipping	efficient	Logistics and shipping agent	-	planned	P3	free
luz.do	luz	do	luz.do	agents	localization	agent	Luz	-	localize	localizing	multilingual	Localization specialist	-	planned	P3	free
mark.do	mark	do	mark.do	agents	marketing	agent	Mark	-	market	marketing	creative	Marketing copy and content	Marketing that resonates	implemented	P1	free
mary.do	mary	do	mary.do	agents	management	agent	Mary	-	manage	managing	organized	Project management agent	-	planned	P3	free
maya.do	maya	do	maya.do	agents	modeling	agent	Maya	-	model	modeling	dimensional	3D modeling specialist	-	planned	P3	free
mel.do	mel	do	mel.do	agents	ml	agent	Mel	-	train	training	intelligent	ML training specialist	-	planned	P3	free
mia.do	mia	do	mia.do	agents	metrics	agent	Mia	-	measure	measuring	quantitative	Metrics and KPI agent	-	planned	P3	free
miles.do	miles	do	miles.do	agents	mobile	agent	Miles	-	mobilize	mobilizing	responsive	Mobile development agent	-	planned	P3	free
nat.do	nat	do	nat.do	agents	networking	agent	Nat	-	connect	connecting	networked	Networking specialist	-	planned	P3	free
nathan.do	nathan	do	nathan.do	agents	engineering	agent	Nathan	-	architect	architecting	visionary	Platform architect	-	implemented	P1	free
ned.do	ned	do	ned.do	agents	node	agent	Ned	-	serve	serving	server-side	Node.js specialist	-	planned	P3	free
nia.do	nia	do	nia.do	agents	nlp	agent	Nia	-	understand	understanding	semantic	NLP understanding agent	-	planned	P3	free
nina.do	nina	do	nina.do	agents	notifications	agent	Nina	-	notify	notifying	timely	Notification specialist	-	planned	P3	free
noa.do	noa	do	noa.do	agents	nocode	agent	Noa	-	build	building	accessible	No-code builder agent	-	planned	P3	free
noah.do	noah	do	noah.do	agents	engineering	agent	Noah	-	navigate	navigating	systematic	Systematic engineering agent	-	planned	P3	free
nolan.do	nolan	do	nolan.do	agents	optimization	agent	Nolan	-	optimize	optimizing	efficient	Performance optimization agent	-	planned	P3	free
oliver.do	oliver	do	oliver.do	agents	operations	agent	Oliver	-	operate	operating	operational	Operations specialist	-	planned	P3	free
oscar.do	oscar	do	oscar.do	agents	observability	agent	Oscar	-	observe	observing	watchful	Observability specialist	-	planned	P3	free
otis.do	otis	do	otis.do	agents	automation	agent	Otis	-	automate	automating	efficient	Automation specialist	-	planned	P3	free
owen.do	owen	do	owen.do	agents	ownership	agent	Owen	-	own	owning	responsible	Product ownership agent	-	planned	P3	free
pam.do	pam	do	pam.do	agents	pm	agent	Pam	-	plan	planning	strategic	Project manager agent	-	planned	P3	free
peg.do	peg	do	peg.do	agents	parsing	agent	Peg	-	parse	parsing	precise	Parser specialist	-	planned	P3	free
penny.do	penny	do	penny.do	agents	payments	agent	Penny	-	pay	paying	financial	Payments specialist	-	planned	P3	free
perry.do	perry	do	perry.do	agents	performance	agent	Perry	-	perform	performing	performant	Performance specialist	-	planned	P3	free
priya.do	priya	do	priya.do	agents	product	agent	Priya	-	specify	specifying	strategic	Product specs and roadmaps	Product vision realized	implemented	P1	free
quinn.do	quinn	do	quinn.do	agents	qa	agent	Quinn	-	test	testing	quality-focused	QA and testing specialist	Quality assured	implemented	P1	free
rae.do	rae	do	rae.do	agents	frontend	agent	Rae	-	render	rendering	reactive	React and frontend specialist	Interfaces that delight	implemented	P1	free
raj.do	raj	do	raj.do	agents	engineering	agent	Raj	-	architect	architecting	systematic	Systems architect	-	planned	P3	free
ralph.do	ralph	do	ralph.do	agents	engineering	agent	Ralph	-	implement	implementing	iterative	Implementation specialist	Ship iteratively	implemented	P1	free
reed.do	reed	do	reed.do	agents	reading	agent	Reed	-	read	reading	comprehending	Document reading agent	-	planned	P3	free
rex.do	rex	do	rex.do	agents	regex	agent	Rex	-	match	matching	precise	Regex and pattern specialist	-	planned	P3	free
rick.do	rick	do	rick.do	agents	risk	agent	Rick	-	assess	assessing	cautious	Risk assessment agent	-	planned	P3	free
rob.do	rob	do	rob.do	agents	robotics	agent	Rob	-	automate	automating	robotic	RPA specialist	-	planned	P3	free
rod.do	rod	do	rod.do	agents	data	agent	Rod	-	record	recording	precise	Data recording agent	-	planned	P3	free
rory.do	rory	do	rory.do	agents	reporting	agent	Rory	-	report	reporting	analytical	Reporting specialist	-	planned	P3	free
rowan.do	rowan	do	rowan.do	agents	routing	agent	Rowan	-	route	routing	directional	Routing specialist	-	planned	P3	free
ruby.do	ruby	do	ruby.do	agents	engineering	agent	Ruby	-	script	scripting	elegant	Ruby language specialist	-	planned	P3	free
sage.do	sage	do	sage.do	agents	strategy	agent	Sage	-	advise	advising	wise	Strategic advisor agent	-	planned	P3	free
sally.do	sally	do	sally.do	agents	sales	agent	Sally	-	sell	selling	persuasive	Sales specialist	Close with confidence	implemented	P1	free
sam.do	sam	do	sam.do	agents	engineering	agent	Sam	-	develop	developing	versatile	Full-stack developer agent	-	planned	P3	free
samuel.do	samuel	do	samuel.do	agents	security	agent	Samuel	-	secure	securing	protective	Security specialist	-	planned	P3	free
sarah.do	sarah	do	sarah.do	agents	search	agent	Sarah	-	search	searching	thorough	Search specialist	-	planned	P3	free
sean.do	sean	do	sean.do	agents	seo	agent	Sean	-	optimize	optimizing	discoverable	SEO specialist	-	planned	P3	free
seth.do	seth	do	seth.do	agents	settings	agent	Seth	-	configure	configuring	configurable	Configuration specialist	-	planned	P3	free
sid.do	sid	do	sid.do	agents	security	agent	Sid	-	secure	securing	vigilant	Security ID specialist	-	planned	P3	free
sierra.do	sierra	do	sierra.do	agents	systems	agent	Sierra	-	systematize	systematizing	systematic	Systems specialist	-	planned	P3	free
stella.do	stella	do	stella.do	agents	stellar	agent	Stella	-	shine	shining	stellar	Excellence agent	-	planned	P3	free
susan.do	susan	do	susan.do	agents	support	agent	Susan	-	support	supporting	supportive	Support specialist	-	planned	P3	free
tess.do	tess	do	tess.do	agents	testing	agent	Tess	-	test	testing	rigorous	Test specialist	-	planned	P3	free
tom.do	tom	do	tom.do	agents	engineering	agent	Tom	-	review	reviewing	thorough	TypeScript architect, code review	Architecture that scales	implemented	P1	free
tyler.do	tyler	do	tyler.do	agents	typescript	agent	Tyler	-	type	typing	typed	TypeScript specialist	-	planned	P3	free
uma.do	uma	do	uma.do	agents	ux	agent	Uma	-	design	designing	user-centric	UX design specialist	-	planned	P3	free
umi.do	umi	do	umi.do	agents	engineering	agent	Umi	-	build	building	framework	Framework specialist	-	planned	P3	free
uri.do	uri	do	uri.do	agents	api	agent	Uri	-	route	routing	RESTful	API routing specialist	-	planned	P3	free
vera.do	vera	do	vera.do	agents	verification	agent	Vera	-	verify	verifying	verified	Verification specialist	-	planned	P3	free
vic.do	vic	do	vic.do	agents	video	agent	Vic	-	record	recording	visual	Video production agent	-	planned	P3	free
vin.do	vin	do	vin.do	agents	validation	agent	Vin	-	validate	validating	valid	Validation specialist	-	planned	P3	free
wade.do	wade	do	wade.do	agents	web	agent	Wade	-	browse	browsing	web-native	Web specialist	-	planned	P3	free
xavi.do	xavi	do	xavi.do	agents	xml	agent	Xavi	-	parse	parsing	structured	XML/structured data agent	-	planned	P3	free
yuki.do	yuki	do	yuki.do	agents	engineering	agent	Yuki	-	develop	developing	precise	Precision development agent	-	planned	P3	free
zia.do	zia	do	zia.do	agents	ai	agent	Zia	-	infer	inferring	intelligent	AI inference specialist	-	planned	P3	free
zoe.do	zoe	do	zoe.do	agents	zero	agent	Zoe	-	start	starting	fresh	Zero-to-one specialist	-	planned	P3	free
zuri.do	zuri	do	zuri.do	agents	engineering	agent	Zuri	-	build	building	beautiful	Beautiful code specialist	-	planned	P3	free
# Roles - Job Functions (~15 domains)
bdr.do	bdr	do	bdr.do	roles	sales	role	BDR	BDRs	prospect	prospecting	prospective	Business Development Representative	Prospect with purpose	planned	P2	free
cfo.do	cfo	do	cfo.do	roles	executive	role	CFO	CFOs	finance	financing	financial	Chief Financial Officer	Financial leadership	planned	P2	free
cmo.do	cmo	do	cmo.do	roles	executive	role	CMO	CMOs	market	marketing	marketable	Chief Marketing Officer	Marketing leadership	planned	P2	free
coo.do	coo	do	coo.do	roles	executive	role	COO	COOs	operate	operating	operational	Chief Operating Officer	Operations leadership	planned	P2	free
cpo.do	cpo	do	cpo.do	roles	executive	role	CPO	CPOs	produce	producing	productive	Chief Product Officer	Product leadership	planned	P2	free
cro.do	cro	do	cro.do	roles	executive	role	CRO	CROs	revenue	generating	revenue-focused	Chief Revenue Officer	Revenue leadership	planned	P2	free
cto.do	cto	do	cto.do	roles	executive	role	CTO	CTOs	architect	architecting	technical	Chief Technology Officer	Technical leadership	planned	P2	free
coach.do	coach	do	coach.do	roles	management	role	Coach	Coaches	coach	coaching	supportive	Coaching and mentorship role	Develop your team	planned	P2	free
engineers.do	engineers	do	engineers.do	roles	engineering	role	Engineer	Engineers	engineer	engineering	technical	Engineering team role	Build with excellence	planned	P2	free
exec.do	exec	do	exec.do	roles	executive	role	Executive	Executives	execute	executing	executive	Executive leadership role	Lead decisively	planned	P2	free
mgmt.do	mgmt	do	mgmt.do	roles	management	role	Manager	Managers	manage	managing	managerial	Management role	Manage effectively	planned	P2	free
management.do	management	do	management.do	roles	management	role	Manager	Managers	manage	managing	managerial	Management role (full name)	Manage effectively	planned	P2	free
pdm.do	pdm	do	pdm.do	roles	product	role	PDM	PDMs	develop	developing	product-focused	Product Development Manager	Product excellence	planned	P2	free
programmers.do	programmers	do	programmers.do	roles	engineering	role	Programmer	Programmers	program	programming	technical	Programming role	Code with craft	planned	P2	free
sdr.do	sdr	do	sdr.do	roles	sales	role	SDR	SDRs	develop	developing	sales-focused	Sales Development Representative	Develop opportunities	planned	P2	free
swe.do	swe	do	swe.do	roles	engineering	role	SWE	SWEs	engineer	engineering	software	Software Engineer	Engineer solutions	planned	P2	free
devs.do	devs	do	devs.do	roles	engineering	role	Developer	Developers	develop	developing	developmental	Developer role	Develop brilliantly	planned	P2	free
# Primitives - Core Platform (~50 domains)
action.do	action	do	action.do	primitives	execution	primitive	Action	Actions	act	acting	actionable	Single executable action	Actions that work	planned	P1	free
actions.do	actions	do	actions.do	primitives	execution	primitive	Action	Actions	act	acting	actionable	Action execution engine	Actions at scale	planned	P1	free
agents.do	agents	do	agents.do	primitives	core	primitive	Agent	Agents	act	acting	autonomous	AI agent runtime	Agents that work	implemented	P0	free
apis.do	apis	do	apis.do	primitives	interfaces	primitive	API	APIs	expose	exposing	exposed	API definition and routing	APIs made simple	planned	P1	free
assistant.do	assistant	do	assistant.do	primitives	ai	primitive	Assistant	Assistants	assist	assisting	helpful	AI assistant runtime	Your AI assistant	planned	P1	free
assistants.do	assistants	do	assistants.do	primitives	ai	primitive	Assistant	Assistants	assist	assisting	helpful	Multiple assistants runtime	Assistants at scale	planned	P1	free
bots.do	bots	do	bots.do	primitives	automation	primitive	Bot	Bots	automate	automating	automated	Bot automation runtime	Bots that work	planned	P2	free
cli.do	cli	do	cli.do	primitives	interfaces	primitive	CLI	CLIs	command	commanding	command-line	Command line interface	CLI made easy	planned	P2	free
components.do	components	do	components.do	primitives	ui	primitive	Component	Components	compose	composing	composable	UI component library	Components that compose	planned	P2	free
context.do	context	do	context.do	primitives	state	primitive	Context	Contexts	contextualize	contextualizing	contextual	Execution context management	Context aware	planned	P1	free
ctx.do	ctx	do	ctx.do	primitives	state	primitive	Context	Contexts	contextualize	contextualizing	contextual	Context shorthand	Context aware	planned	P1	free
dash.do	dash	do	dash.do	primitives	ui	primitive	Dashboard	Dashboards	visualize	visualizing	visual	Dashboard shorthand	Dashboards fast	planned	P2	free
dashboard.do	dashboard	do	dashboard.do	primitives	ui	primitive	Dashboard	Dashboards	visualize	visualizing	visual	Dashboard builder	Dashboards that inform	planned	P2	free
database.do	database	do	database.do	primitives	data	primitive	Database	Databases	store	storing	persistent	Database abstraction	Data that persists	planned	P1	free
databases.do	databases	do	databases.do	primitives	data	primitive	Database	Databases	store	storing	persistent	Multi-database management	Databases unified	planned	P1	free
directories.do	directories	do	directories.do	primitives	discovery	primitive	Directory	Directories	list	listing	discoverable	Directory listings	Find anything	planned	P2	free
directory.do	directory	do	directory.do	primitives	discovery	primitive	Directory	Directories	list	listing	discoverable	Single directory	Directory service	planned	P2	free
events.do	events	do	events.do	primitives	messaging	primitive	Event	Events	emit	emitting	event-driven	Event bus and pub/sub	Events that flow	implemented	P0	free
fetch.do	fetch	do	fetch.do	primitives	networking	primitive	Fetch	Fetches	fetch	fetching	fetched	HTTP fetch abstraction	Fetch anything	planned	P2	free
function.do	function	do	function.do	primitives	execution	primitive	Function	Functions	execute	executing	executable	Single function execution	Functions that run	planned	P1	free
functions.do	functions	do	functions.do	primitives	execution	primitive	Function	Functions	execute	executing	executable	Function execution engine	Functions at scale	implemented	P0	free
goals.do	goals	do	goals.do	primitives	planning	primitive	Goal	Goals	achieve	achieving	achievable	Goal tracking system	Goals achieved	planned	P2	free
humans.do	humans	do	humans.do	primitives	core	primitive	Human	Humans	collaborate	collaborating	human	Human worker runtime	Humans in the loop	implemented	P0	free
integrate.do	integrate	do	integrate.do	primitives	connectivity	primitive	Integration	Integrations	integrate	integrating	integrated	Integration helper	Integrate anything	planned	P2	free
integrations.do	integrations	do	integrations.do	primitives	connectivity	primitive	Integration	Integrations	integrate	integrating	integrated	Integration management	Integrations unified	planned	P1	free
issues.do	issues	do	issues.do	primitives	tracking	primitive	Issue	Issues	track	tracking	tracked	Issue tracking	Issues resolved	planned	P2	free
keys.do	keys	do	keys.do	primitives	security	primitive	Key	Keys	authenticate	authenticating	secure	API key management	Keys secured	planned	P1	free
lists.do	lists	do	lists.do	primitives	data	primitive	List	Lists	list	listing	listed	List management	Lists organized	planned	P2	free
names.do	names	do	names.do	primitives	identity	primitive	Name	Names	name	naming	named	Name resolution	Names resolved	planned	P2	free
nouns.do	nouns	do	nouns.do	primitives	language	primitive	Noun	Nouns	define	defining	defined	Noun definitions	Nouns defined	planned	P2	free
numbers.do	numbers	do	numbers.do	primitives	data	primitive	Number	Numbers	count	counting	numeric	Number management	Numbers handled	planned	P2	free
oauth.do	oauth	do	oauth.do	primitives	security	primitive	OAuth	-	authorize	authorizing	authorized	OAuth authentication	OAuth simplified	implemented	P1	free
objects.do	objects	do	objects.do	primitives	data	primitive	Object	Objects	store	storing	stored	Object storage	Objects persisted	planned	P1	free
okr.do	okr	do	okr.do	primitives	planning	primitive	OKR	OKRs	track	tracking	tracked	OKR tracking shorthand	OKRs achieved	planned	P2	free
okrs.do	okrs	do	okrs.do	primitives	planning	primitive	OKR	OKRs	track	tracking	tracked	OKR tracking system	OKRs at scale	planned	P2	free
orgs.do	orgs	do	orgs.do	primitives	identity	primitive	Organization	Organizations	organize	organizing	organizational	Organization management	Organizations unified	planned	P1	free
plans.do	plans	do	plans.do	primitives	planning	primitive	Plan	Plans	plan	planning	planned	Plan management	Plans executed	planned	P2	free
platform.do	platform	do	platform.do	primitives	core	primitive	Platform	Platforms	platform	platforming	platform	Platform abstraction	The platform	implemented	P0	free
processes.do	processes	do	processes.do	primitives	execution	primitive	Process	Processes	process	processing	processed	Process management	Processes automated	planned	P1	free
products.do	products	do	products.do	primitives	business	primitive	Product	Products	produce	producing	productive	Product catalog	Products organized	planned	P2	free
projects.do	projects	do	projects.do	primitives	organization	primitive	Project	Projects	project	projecting	projected	Project management	Projects delivered	planned	P2	free
queue.do	queue	do	queue.do	primitives	messaging	primitive	Queue	Queues	queue	queuing	queued	Message queue	Queues that flow	planned	P1	free
rbac.do	rbac	do	rbac.do	primitives	security	primitive	RBAC	-	authorize	authorizing	authorized	Role-based access control	RBAC simplified	planned	P1	free
fga.do	fga	do	fga.do	primitives	security	primitive	FGA	-	authorize	authorizing	authorized	Fine-grained authorization	FGA made easy	planned	P1	free
requests.do	requests	do	requests.do	primitives	networking	primitive	Request	Requests	request	requesting	requested	HTTP request handling	Requests handled	planned	P2	free
resources.do	resources	do	resources.do	primitives	data	primitive	Resource	Resources	resource	resourcing	resourced	Resource management	Resources managed	planned	P1	free
responses.do	responses	do	responses.do	primitives	networking	primitive	Response	Responses	respond	responding	responsive	HTTP response handling	Responses delivered	planned	P2	free
roles.do	roles	do	roles.do	primitives	identity	primitive	Role	Roles	assign	assigning	assigned	Role management	Roles defined	implemented	P1	free
rpc.do	rpc	do	rpc.do	primitives	networking	primitive	RPC	RPCs	call	calling	callable	RPC framework	RPC simplified	implemented	P0	free
sandbox.do	sandbox	do	sandbox.do	primitives	execution	primitive	Sandbox	Sandboxes	sandbox	sandboxing	sandboxed	Sandboxed execution	Sandboxes secure	planned	P1	free
sdk.do	sdk	do	sdk.do	primitives	development	primitive	SDK	SDKs	develop	developing	developmental	SDK generation	SDKs generated	planned	P1	free
searches.do	searches	do	searches.do	primitives	discovery	primitive	Search	Searches	search	searching	searchable	Search engine	Search anything	planned	P1	free
service.do	service	do	service.do	primitives	execution	primitive	Service	Services	serve	serving	serviced	Single service	Services deployed	planned	P1	free
services.do	services	do	services.do	primitives	execution	primitive	Service	Services	serve	serving	serviced	Service mesh	Services at scale	planned	P1	free
state.do	state	do	state.do	primitives	data	primitive	State	States	state	stating	stateful	State management	State managed	planned	P1	free
storage.do	storage	do	storage.do	primitives	data	primitive	Storage	-	store	storing	stored	Object storage	Storage unified	planned	P1	free
tasks.do	tasks	do	tasks.do	primitives	execution	primitive	Task	Tasks	task	tasking	tasked	Task execution	Tasks completed	planned	P1	free
teams.do	teams	do	teams.do	primitives	organization	primitive	Team	Teams	team	teaming	teamed	Team composition	Teams that work	implemented	P0	free
templates.do	templates	do	templates.do	primitives	generation	primitive	Template	Templates	template	templating	templated	Template engine	Templates rendered	planned	P2	free
tests.do	tests	do	tests.do	primitives	quality	primitive	Test	Tests	test	testing	tested	Test runner	Tests passing	planned	P1	free
trace.do	trace	do	trace.do	primitives	observability	primitive	Trace	Traces	trace	tracing	traced	Distributed tracing	Traces connected	planned	P1	free
traces.do	traces	do	traces.do	primitives	observability	primitive	Trace	Traces	trace	tracing	traced	Trace aggregation	Traces unified	planned	P1	free
trigger.do	trigger	do	trigger.do	primitives	automation	primitive	Trigger	Triggers	trigger	triggering	triggered	Event trigger	Triggers fired	planned	P1	free
triggers.do	triggers	do	triggers.do	primitives	automation	primitive	Trigger	Triggers	trigger	triggering	triggered	Trigger management	Triggers at scale	implemented	P0	free
verbs.do	verbs	do	verbs.do	primitives	language	primitive	Verb	Verbs	do	doing	active	Verb definitions	Verbs that act	planned	P2	free
webhooks.do	webhooks	do	webhooks.do	primitives	messaging	primitive	Webhook	Webhooks	hook	hooking	hooked	Webhook management	Webhooks delivered	implemented	P1	free
worker.do	worker	do	worker.do	primitives	execution	primitive	Worker	Workers	work	working	working	Single worker	Workers deployed	planned	P1	free
workers.do	workers	do	workers.do	primitives	execution	primitive	Worker	Workers	work	working	working	Worker runtime	Workers at scale	implemented	P0	free
workflows.do	workflows	do	workflows.do	primitives	orchestration	primitive	Workflow	Workflows	orchestrate	orchestrating	orchestrated	Workflow orchestration	Workflows automated	implemented	P0	free
# Business - Business-as-Code Financial Platform (~25 domains)
402.do	402	do	402.do	business	payments	service	PaymentRequired	-	require	requiring	required	Payment required handling	Payments enforced	planned	P2	pro
accounting.do	accounting	do	accounting.do	business	financial	service	Account	Accounts	account	accounting	accountable	Autonomous accounting	Accounting automated	planned	P0	pro
accounts.do	accounts	do	accounts.do	business	financial	service	Account	Accounts	manage	managing	managed	Bank account management	Accounts unified	planned	P0	pro
address.do	address	do	address.do	business	formation	service	Address	Addresses	address	addressing	addressed	Business address service	Addresses managed	planned	P1	pro
addresses.do	addresses	do	addresses.do	business	formation	service	Address	Addresses	address	addressing	addressed	Multiple addresses	Addresses unified	planned	P1	pro
analytics.do	analytics	do	analytics.do	business	metrics	service	Analytics	-	analyze	analyzing	analytical	Business analytics	Analytics that matter	planned	P1	pro
businesses.do	businesses	do	businesses.do	business	formation	service	Business	Businesses	conduct	conducting	business	Business management	Businesses launched	planned	P1	pro
calls.do	calls	do	calls.do	business	communications	service	Call	Calls	call	calling	callable	Voice call service	Calls connected	planned	P1	pro
cards.do	cards	do	cards.do	business	financial	service	Card	Cards	issue	issuing	issued	Card issuance	Cards issued	planned	P0	pro
careers.do	careers	do	careers.do	business	hr	service	Career	Careers	hire	hiring	hireable	Career management	Careers launched	planned	P2	pro
companies.do	companies	do	companies.do	business	formation	service	Company	Companies	incorporate	incorporating	incorporated	Company management	Companies formed	planned	P1	pro
emails.do	emails	do	emails.do	business	communications	service	Email	Emails	email	emailing	emailable	Email service	Emails delivered	planned	P1	pro
financials.do	financials	do	financials.do	business	financial	service	Financial	Financials	finance	financing	financial	Financial reporting	Financials clear	planned	P1	pro
incorporate.do	incorporate	do	incorporate.do	business	formation	service	Entity	Entities	incorporate	incorporating	incorporated	Entity formation	Entities formed	planned	P1	pro
kpis.do	kpis	do	kpis.do	business	metrics	service	KPI	KPIs	measure	measuring	measurable	KPI tracking	KPIs tracked	planned	P2	pro
